date,open_jobs,new_this_week,companies_hiring,share_with_salary_pct
2026-09-02,5601,1584,1036,5
2026-09-03,5601,1335,1036,5
2026-09-04,5849,1318,1077,5
2026-09-05,6069,1574,1113,5
2026-09-06,6087,1576,1119,5
2026-09-07,6113,1348,1125,5
2026-09-08,6303,1302,1167,5
2026-09-09,6124,1119,546,9
2026-09-10,6065,1056,553,9
2026-09-11,5557,740,389,9
2026-09-12,5620,830,399,9
2026-09-13,5625,824,400,9
2026-09-14,5623,755,400,9
2026-09-15,6131,1261,405,9
2026-09-16,6239,1115,415,9
2026-09-17,6307,1146,423,9
2026-09-18,6559,1363,432,9
2026-09-19,6722,1595,441,9
2026-09-20,6727,1597,442,9
2026-09-21,6740,846,443,9
